"id","name","fan_count","dateInsert"
"178550128870992","Universiteti i PrishtinÃ«s","99903","2017-06-14 13:18:32"
"1573709699516495","Universiteti i GjakovÃ«s ""Fehmi Agani""","2626","2017-06-14 13:18:40"
"366223313437608","Universiteti i MitrovicÃ«s","7653","2017-06-14 13:18:42"
"314415298669032","Fakulteti i Studimeve Islame - FSI PrishtinÃ«","9678","2017-06-14 13:18:43"
"1558518001042747","Akademia e KosovÃ«s pÃ«r Siguri Publike","4025","2017-06-14 13:18:45"
"1533276790264327","Akademia Evolucion","10757","2017-06-14 13:18:46"
"408596769173460","Kolegji AAB","42724","2017-06-14 13:18:48"
"356382211105546","RIT Kosovo","33267","2017-06-14 13:18:54"
"522746544426325","Kolegji Biznesi","25082","2017-06-14 13:18:57"
"153792561498197","Kolegji Dardania","27006","2017-06-14 13:18:59"
"480644492056166","Kolegji FAMA","5031","2017-06-14 13:19:00"
"118541198177388","Kolegji Gjilani","2559","2017-06-14 13:19:03"
"213609368661117","Kolegji i Menaxhmentit Internacional ""Globus""","3245","2017-06-14 13:19:05"
"221311077904575","Kolegji Humanistica","767","2017-06-14 13:19:07"
"231503536976520","Kolegji ILIRIA","61086","2017-06-14 13:19:08"
"211436145566582","Kolegji ISPE","23873","2017-06-14 13:19:11"
"488005627969324","Kolegji Evropian Juridica - Official","10015","2017-06-14 13:19:13"
"277768028918391","Kolegji ""PjetÃ«r Budi""","18745","2017-06-14 13:19:14"
"577871452266106","Kolegji Riinvest - Riinvest College","30972","2017-06-14 13:19:18"
"680947495301876","Tempulli College","15144","2017-06-14 13:19:21"
"153583318026281","UBT - Higher Education Institution","82984","2017-06-14 13:19:23"
"670654779662030","Kolegji Universi","7942","2017-06-14 13:19:31"
"381803827243","Kolegji Universum","71334","2017-06-14 13:19:33"
"106927054069","IBCM - International Business College Mitrovica","13217","2017-06-14 13:19:36"
"178550128870992","Universiteti i PrishtinÃ«s","104280","2017-10-19 09:26:22"
"1573709699516495","Universiteti i GjakovÃ«s ""Fehmi Agani""","3283","2017-10-19 09:26:27"
"366223313437608","Universiteti i MitrovicÃ«s","8275","2017-10-19 09:26:29"
"314415298669032","Fakulteti i Studimeve Islame - FSI PrishtinÃ«","9942","2017-10-19 09:26:30"
"1558518001042747","Akademia e KosovÃ«s pÃ«r Siguri Publike","4166","2017-10-19 09:26:34"
"1533276790264327","Akademia Evolucion","11128","2017-10-19 09:26:35"
"408596769173460","Kolegji AAB","50117","2017-10-19 09:26:36"
"356382211105546","RIT Kosovo","35289","2017-10-19 09:26:42"
"522746544426325","Kolegji Biznesi","27074","2017-10-19 09:26:46"
"153792561498197","Kolegji Dardania","27518","2017-10-19 09:26:49"
"480644492056166","Kolegji FAMA","5846","2017-10-19 09:26:52"
"118541198177388","Kolegji Gjilani","2741","2017-10-19 09:26:55"
"213609368661117","Kolegji i Menaxhmentit Internacional ""Globus""","3492","2017-10-19 09:26:56"
"221311077904575","Kolegji Humanistica","771","2017-10-19 09:26:58"
"231503536976520","Kolegji ILIRIA","70772","2017-10-19 09:26:59"
"211436145566582","Kolegji ISPE","24107","2017-10-19 09:27:00"
"488005627969324","Kolegji Evropian Juridica - Official","11777","2017-10-19 09:27:02"
"277768028918391","Kolegji ""PjetÃ«r Budi""","19581","2017-10-19 09:27:03"
"577871452266106","Kolegji Riinvest - Riinvest College","32636","2017-10-19 09:27:05"
"680947495301876","Tempulli College","16966","2017-10-19 09:27:09"
"153583318026281","UBT - Higher Education Institution","85990","2017-10-19 09:27:12"
"670654779662030","Kolegji Universi","8178","2017-10-19 09:27:22"
"381803827243","Kolegji Universum","72169","2017-10-19 09:27:25"
"106927054069","IBCM - International Business College Mitrovica","13137","2017-10-19 09:27:29"
"178550128870992","Universiteti i PrishtinÃ«s","104277","2017-10-20 11:24:09"
"1573709699516495","Universiteti i GjakovÃ«s ""Fehmi Agani""","3282","2017-10-20 11:24:14"
"366223313437608","Universiteti i MitrovicÃ«s","8278","2017-10-20 11:24:15"
"314415298669032","Fakulteti i Studimeve Islame - FSI PrishtinÃ«","9945","2017-10-20 11:24:16"
"1558518001042747","Akademia e KosovÃ«s pÃ«r Siguri Publike","4166","2017-10-20 11:24:18"
"1533276790264327","Akademia Evolucion","11134","2017-10-20 11:24:19"
"408596769173460","Kolegji AAB","50149","2017-10-20 11:24:20"
"356382211105546","RIT Kosovo","35281","2017-10-20 11:24:28"
"522746544426325","Kolegji Biznesi","27068","2017-10-20 11:24:30"
"153792561498197","Kolegji Dardania","27517","2017-10-20 11:24:32"
"480644492056166","Kolegji FAMA","5853","2017-10-20 11:24:34"
"118541198177388","Kolegji Gjilani","2777","2017-10-20 11:24:36"
"213609368661117","Kolegji i Menaxhmentit Internacional ""Globus""","3499","2017-10-20 11:24:38"
"221311077904575","Kolegji Humanistica","772","2017-10-20 11:24:39"
"231503536976520","Kolegji ILIRIA","70863","2017-10-20 11:24:40"
"211436145566582","Kolegji ISPE","24112","2017-10-20 11:24:42"
"488005627969324","Kolegji Evropian Juridica - Official","11782","2017-10-20 11:24:43"
"277768028918391","Kolegji ""PjetÃ«r Budi""","19588","2017-10-20 11:24:45"
"577871452266106","Kolegji Riinvest - Riinvest College","32644","2017-10-20 11:24:46"
"680947495301876","Tempulli College","16971","2017-10-20 11:24:50"
"153583318026281","UBT - Higher Education Institution","86005","2017-10-20 11:24:52"
"670654779662030","Kolegji Universi","8184","2017-10-20 11:25:00"
"381803827243","Kolegji Universum","72156","2017-10-20 11:25:02"
"106927054069","IBCM - International Business College Mitrovica","13136","2017-10-20 11:25:08"
"178550128870992","Universiteti i PrishtinÃ«s","104262","2017-10-24 17:17:37"
"1573709699516495","Universiteti i GjakovÃ«s ""Fehmi Agani""","3285","2017-10-24 17:17:46"
"366223313437608","Universiteti i MitrovicÃ«s","8283","2017-10-24 17:17:47"
"314415298669032","Fakulteti i Studimeve Islame - FSI PrishtinÃ«","9948","2017-10-24 17:17:48"
"1558518001042747","Akademia e KosovÃ«s pÃ«r Siguri Publike","4167","2017-10-24 17:17:50"
"1533276790264327","Akademia Evolucion","11136","2017-10-24 17:17:51"
"408596769173460","Kolegji AAB","50376","2017-10-24 17:17:52"
"356382211105546","RIT Kosovo","35268","2017-10-24 17:17:56"
"522746544426325","Kolegji Biznesi","27033","2017-10-24 17:17:59"
"153792561498197","Kolegji Dardania","27499","2017-10-24 17:18:01"
"480644492056166","Kolegji FAMA","5882","2017-10-24 17:18:02"
"118541198177388","Kolegji Gjilani","2865","2017-10-24 17:18:04"
"213609368661117","Kolegji i Menaxhmentit Internacional ""Globus""","3504","2017-10-24 17:18:05"
"221311077904575","Kolegji Humanistica","772","2017-10-24 17:18:06"
"231503536976520","Kolegji ILIRIA","71314","2017-10-24 17:18:07"
"211436145566582","Kolegji ISPE","24114","2017-10-24 17:18:09"
"488005627969324","Kolegji Evropian Juridica - Official","11798","2017-10-24 17:18:10"
"277768028918391","Kolegji ""PjetÃ«r Budi""","19592","2017-10-24 17:18:12"
"577871452266106","Kolegji Riinvest - Riinvest College","32673","2017-10-24 17:18:13"
"680947495301876","Tempulli College","17028","2017-10-24 17:18:16"
"153583318026281","UBT - Higher Education Institution","86040","2017-10-24 17:18:18"
"670654779662030","Kolegji Universi","8184","2017-10-24 17:18:30"
"178550128870992","Universiteti i PrishtinÃ«s","104251","2017-10-26 15:38:26"
"1573709699516495","Universiteti i GjakovÃ«s ""Fehmi Agani""","3290","2017-10-26 15:38:31"
"366223313437608","Universiteti i MitrovicÃ«s","8279","2017-10-26 15:38:33"
"314415298669032","Fakulteti i Studimeve Islame - FSI PrishtinÃ«","9954","2017-10-26 15:38:34"
"1558518001042747","Akademia e KosovÃ«s pÃ«r Siguri Publike","4169","2017-10-26 15:38:35"
"1533276790264327","Akademia Evolucion","11136","2017-10-26 15:38:36"
"408596769173460","Kolegji AAB","50465","2017-10-26 15:38:37"
"356382211105546","RIT Kosovo","35283","2017-10-26 15:38:42"
"522746544426325","Kolegji Biznesi","27023","2017-10-26 15:38:44"
"153792561498197","Kolegji Dardania","27501","2017-10-26 15:38:46"
"480644492056166","Kolegji FAMA","5889","2017-10-26 15:38:51"
"118541198177388","Kolegji Gjilani","2869","2017-10-26 15:38:53"
"213609368661117","Kolegji i Menaxhmentit Internacional ""Globus""","3505","2017-10-26 15:38:54"
"221311077904575","Kolegji Humanistica","774","2017-10-26 15:38:56"
"231503536976520","Kolegji ILIRIA","71501","2017-10-26 15:38:56"
"211436145566582","Kolegji ISPE","24120","2017-10-26 15:38:58"
"488005627969324","Kolegji Evropian Juridica - Official","11830","2017-10-26 15:39:00"
"277768028918391","Kolegji ""PjetÃ«r Budi""","19583","2017-10-26 15:39:01"
"577871452266106","Kolegji Riinvest - Riinvest College","32681","2017-10-26 15:39:03"
"680947495301876","Tempulli College","17054","2017-10-26 15:39:06"
"153583318026281","UBT - Higher Education Institution","86104","2017-10-26 15:39:07"
"178550128870992","Universiteti i PrishtinÃ«s","104252","2017-10-26 17:44:04"
"1573709699516495","Universiteti i GjakovÃ«s ""Fehmi Agani""","3290","2017-10-26 17:44:08"
"366223313437608","Universiteti i MitrovicÃ«s","8279","2017-10-26 17:44:09"
"314415298669032","Fakulteti i Studimeve Islame - FSI PrishtinÃ«","9958","2017-10-26 17:44:10"
"1558518001042747","Akademia e KosovÃ«s pÃ«r Siguri Publike","4169","2017-10-26 17:44:11"
"1533276790264327","Akademia Evolucion","11136","2017-10-26 17:44:12"
"408596769173460","Kolegji AAB","50473","2017-10-26 17:44:13"
"356382211105546","RIT Kosovo","35283","2017-10-26 17:44:16"
"522746544426325","Kolegji Biznesi","27023","2017-10-26 17:44:18"
"153792561498197","Kolegji Dardania","27502","2017-10-26 17:44:19"
"480644492056166","Kolegji FAMA","5889","2017-10-26 17:44:21"
"118541198177388","Kolegji Gjilani","2868","2017-10-26 17:44:22"
"213609368661117","Kolegji i Menaxhmentit Internacional ""Globus""","3505","2017-10-26 17:44:23"
"221311077904575","Kolegji Humanistica","774","2017-10-26 17:44:24"
"231503536976520","Kolegji ILIRIA","71516","2017-10-26 17:44:24"
"211436145566582","Kolegji ISPE","24122","2017-10-26 17:44:26"
"488005627969324","Kolegji Evropian Juridica - Official","11831","2017-10-26 17:44:27"
"277768028918391","Kolegji ""PjetÃ«r Budi""","19583","2017-10-26 17:44:28"
"577871452266106","Kolegji Riinvest - Riinvest College","32683","2017-10-26 17:44:29"
"680947495301876","Tempulli College","17054","2017-10-26 17:44:32"
"153583318026281","UBT - Higher Education Institution","86109","2017-10-26 17:44:33"
"670654779662030","Kolegji Universi","8188","2017-10-26 17:44:40"
"381803827243","Kolegji Universum","72137","2017-10-26 17:44:42"
"106927054069","IBCM - International Business College Mitrovica","13123","2017-10-26 17:44:45"
"178550128870992","Universiteti i PrishtinÃ«s","104258","2017-11-01 14:37:44"
"1573709699516495","Universiteti i GjakovÃ«s ""Fehmi Agani""","3292","2017-11-01 14:37:53"
"366223313437608","Universiteti i MitrovicÃ«s","8282","2017-11-01 14:37:54"
"314415298669032","Fakulteti i Studimeve Islame - FSI PrishtinÃ«","9977","2017-11-01 14:37:56"
"1558518001042747","Akademia e KosovÃ«s pÃ«r Siguri Publike","4172","2017-11-01 14:37:59"
"1533276790264327","Akademia Evolucion","11142","2017-11-01 14:37:59"
"408596769173460","Kolegji AAB","50749","2017-11-01 14:38:01"
"356382211105546","RIT Kosovo","35256","2017-11-01 14:38:05"
"522746544426325","Kolegji Biznesi","26991","2017-11-01 14:38:08"
"153792561498197","Kolegji Dardania","27494","2017-11-01 14:38:09"
"480644492056166","Kolegji FAMA","5915","2017-11-01 14:38:11"
"118541198177388","Kolegji Gjilani","2875","2017-11-01 14:38:12"
"213609368661117","Kolegji i Menaxhmentit Internacional ""Globus""","3516","2017-11-01 14:38:14"
"221311077904575","Kolegji Humanistica","774","2017-11-01 14:38:15"
"231503536976520","Kolegji ILIRIA","72117","2017-11-01 14:38:16"
"211436145566582","Kolegji ISPE","24107","2017-11-01 14:38:17"
"488005627969324","Kolegji Evropian Juridica - Official","11866","2017-11-01 14:38:20"
"277768028918391","Kolegji ""PjetÃ«r Budi""","19577","2017-11-01 14:38:21"
"577871452266106","Kolegji Riinvest - Riinvest College","32760","2017-11-01 14:38:23"
"680947495301876","Tempulli College","17138","2017-11-01 14:38:26"
"153583318026281","UBT - Higher Education Institution","86278","2017-11-01 14:38:28"
"670654779662030","Kolegji Universi","8196","2017-11-01 14:38:35"
"381803827243","Kolegji Universum","72121","2017-11-01 14:38:37"
"106927054069","IBCM - International Business College Mitrovica","13116","2017-11-01 14:38:41"
"178550128870992","Universiteti i PrishtinÃ«s","104240","2017-11-06 13:51:03"
"1573709699516495","Universiteti i GjakovÃ«s ""Fehmi Agani""","3292","2017-11-06 13:51:08"
"366223313437608","Universiteti i MitrovicÃ«s","8285","2017-11-06 13:51:08"
"314415298669032","Fakulteti i Studimeve Islame - FSI PrishtinÃ«","9985","2017-11-06 13:51:09"
"1558518001042747","Akademia e KosovÃ«s pÃ«r Siguri Publike","4173","2017-11-06 13:51:10"
"1533276790264327","Akademia Evolucion","11149","2017-11-06 13:51:11"
"408596769173460","Kolegji AAB","50796","2017-11-06 13:51:13"
"356382211105546","RIT Kosovo","35290","2017-11-06 13:51:16"
"522746544426325","Kolegji Biznesi","26962","2017-11-06 13:51:18"
"153792561498197","Kolegji Dardania","27478","2017-11-06 13:51:20"
"480644492056166","Kolegji FAMA","5931","2017-11-06 13:51:21"
"118541198177388","Kolegji Gjilani","2879","2017-11-06 13:51:22"
"213609368661117","Kolegji i Menaxhmentit Internacional ""Globus""","3531","2017-11-06 13:51:24"
"221311077904575","Kolegji Humanistica","774","2017-11-06 13:51:25"
"231503536976520","Kolegji ILIRIA","72504","2017-11-06 13:51:25"
"211436145566582","Kolegji ISPE","24103","2017-11-06 13:51:27"
"488005627969324","Kolegji Evropian Juridica - Official","11878","2017-11-06 13:51:28"
"277768028918391","Kolegji ""PjetÃ«r Budi""","19573","2017-11-06 13:51:29"
"577871452266106","Kolegji Riinvest - Riinvest College","32814","2017-11-06 13:51:30"
"680947495301876","Tempulli College","17211","2017-11-06 13:51:31"
"153583318026281","UBT - Higher Education Institution","86275","2017-11-06 13:51:34"
"670654779662030","Kolegji Universi","8204","2017-11-06 13:51:38"
"381803827243","Kolegji Universum","72170","2017-11-06 13:51:40"
"106927054069","IBCM - International Business College Mitrovica","13105","2017-11-06 13:51:44"
